CODEINTE,CODECATE,PRIMETOTALE,Cluster,CODEASSU
1001,401,29857.0,2,13083
1001,400,2950912.0,1,21050
1001,400,224743.0,0,21050
1001,400,5093671.0,1,14210
1001,404,2814687.0,1,14210
1001,401,92125.0,0,22361
1001,401,110856.0,0,21912
1001,400,659584.0,1,14210
1001,400,425826.0,1,21038
1001,401,106829.0,0,21659
1001,400,202878.0,0,10851
1001,401,112195.0,0,23072
1001,401,39401.0,2,21274
1001,401,21989.0,2,22091
1001,401,78111.0,0,22611
1001,402,149123.0,0,22613
1001,400,4693352.0,1,9255
1001,401,22037.0,2,21342
1001,402,38883.0,2,12932
1001,401,245945.0,0,13198
1001,402,149738.0,0,22716
1001,402,198544.0,0,22685
1001,400,248977.0,0,21050
1001,401,89535.0,0,21038
1001,401,119680.0,0,22196
1001,402,40373.0,2,9583
1001,400,92945.0,0,8659
1001,402,148350.0,0,22424
1001,401,35565.0,2,22886
1001,401,62437.0,0,21284
1001,402,205418.0,0,22691
1001,401,53601.0,2,26489
1001,402,43403.0,2,21131
1001,401,19371.0,2,22319
1001,401,75270.0,0,22260
1001,401,37000.0,2,21392
1001,401,24000.0,2,21358
1001,401,94852.0,0,21670
1001,401,76532.0,0,22614
1001,402,31873.0,2,22890
1001,403,79476.0,0,22803
1001,405,17085.0,2,22159
1001,401,120731.0,0,21276
1001,400,266808.0,0,8659
1001,401,32665.0,2,22539
1001,401,94256.0,0,22495
1001,401,22069.0,2,22452
1001,401,20796.0,2,22834
1001,401,22391.0,2,8781
1001,400,40514.0,2,21038
1001,401,20778.0,2,22455
1001,401,116848.0,0,21772
1001,400,125221.0,0,21038
1001,401,82559.0,0,21713
1001,401,35980.0,2,21761
1001,401,22078.0,2,8856
1001,401,111184.0,0,21772
1001,401,32556.0,2,22514
1001,401,24374.0,2,21287
1001,401,62774.0,0,22329
1001,401,22633.0,2,21342
1001,401,406129.0,0,11655
1001,401,101174.0,0,22022
1001,401,27234.0,2,9821
1001,401,29685.0,2,21416
1001,401,228169.0,0,14093
1001,401,49295.0,2,21205
1001,400,421220.0,1,21050
1001,401,20388.0,2,13191
1001,401,25690.0,2,24120
1001,401,25028.0,2,24121
1001,401,29834.0,2,21419
1001,401,44182.0,2,25301
1001,401,116699.0,0,24291
1001,402,58944.0,2,11632
1001,401,88500.0,0,21358
1001,405,29784.0,2,25478
1001,405,16191.0,2,23137
1001,401,77173.0,0,21392
1001,401,118750.0,0,13198
1001,401,33261.0,2,21284
1001,400,827120.0,1,9255
1001,400,980838.0,1,9255
1001,400,730265.0,1,9255
1001,401,84223.0,0,25324
1001,402,45023.0,2,21131
1001,401,39997.0,2,21274
1001,401,91870.0,0,23487
1001,400,29797.0,2,8659
1001,401,23658.0,2,26692
1001,401,145000.0,0,11620
1001,403,334461.0,0,21038
1001,400,1728739.0,1,8659
1001,401,116000.0,0,10799
1001,403,344478.0,0,25834
1001,401,88889.0,0,19021
1002,405,26735.0,2,9014
1002,401,26638.0,2,14802
1002,420,42979.0,2,9663
1002,401,80646.0,0,10823
1002,401,60752.0,2,9347
1002,401,29447.0,2,8512
1002,401,116103.0,0,12525
1002,401,100578.0,0,8023
1002,401,22180.0,2,8023
1002,402,134669.0,0,9270
1002,401,29089.0,2,10378
1002,401,91871.0,0,9272
