CODEASSU;CODEINTE;CODECATE;PRIMENETTE;PRIMETOTALE
8829;1110;401;66632.0;84036.0
8133;1110;401;624684.0;749514.0
10631;1110;401;73202.0;91871.0
14683;1110;405;18580.0;26735.0
11600;1110;401;113251.0;139630.0
13283;1110;401;55498.0;70759.0
12120;1110;401;14641.0;22038.0
8353;1110;401;105751.0;130686.0
13773;1110;401;93245.0;115773.0
10246;1110;401;41109.0;53601.0
8901;1110;402;25969.0;35547.0
8010;1110;401;16100.0;23778.0
11809;1110;401;63789.0;80646.0
13397;1110;401;20554.0;29089.0
8013;1110;400;14175.0;53543.0
10877;1110;401;60715.0;76981.0
10055;1110;401;152723.0;186701.0
8435;1110;401;41109.0;53601.0
14534;1110;401;21154.0;29804.0
8128;1110;401;79978.0;99952.0
9766;1110;401;18499.0;26638.0
11842;1110;401;69632.0;87613.0
12756;1110;401;224551.0;272356.0
10371;1110;401;106895.0;132050.0
13552;1110;405;17223.0;25117.0
8988;1110;405;10739.0;17384.0
14559;1110;401;66632.0;84036.0
13614;1110;405;9665.0;16104.0
9589;1110;402;109327.0;134951.0
10589;1110;402;26609.0;36310.0
10604;1110;400;16184.0;71227.0
12889;1110;401;16100.0;23778.0
11106;1110;401;93245.0;115773.0
10040;1110;405;15050.0;22525.0
8051;1110;400;16184.0;90920.0
12389;1110;401;116668.0;143705.0
13920;1110;400;235164.0;370739.0
13205;1110;401;73202.0;91871.0
11963;1110;405;9955.0;16450.0
11020;1110;401;96245.0;119350.0
12614;1110;401;66632.0;84036.0
8051;1110;400;14175.0;120261.0
11495;1110;401;84585.0;105445.0
9035;1110;401;48302.0;62178.0
8551;1110;401;66629.0;84034.0
8726;1110;401;66632.0;84036.0
13082;1110;402;31918.0;42640.0
13938;1110;401;93742.0;116365.0
10208;1110;401;73202.0;91871.0
8460;1110;401;24260.0;33508.0
14568;1110;405;9955.0;16450.0
8726;1110;401;105751.0;130686.0
8689;1110;401;16100.0;23778.0
13463;1110;401;80503.0;100578.0
12739;1110;401;115543.0;142364.0
10016;1110;401;83247.0;103850.0
10017;1110;400;17223.0;69387.0
11492;1110;401;93245.0;115773.0
14617;1110;401;93245.0;115773.0
9589;1110;403;69680.0;87671.0
9589;1110;400;247219.0;595792.0
8188;1110;400;16184.0;126288.0
8051;1110;401;14175.0;18175.0
10953;1110;401;105751.0;130686.0
8051;1110;400;14175.0;65200.0
10435;1110;401;85673.0;106743.0
8413;1110;402;109327.0;134951.0
14988;1110;401;73202.0;91871.0
10599;1110;401;66823.0;84264.0
11336;1110;401;73202.0;91871.0
12324;1110;401;84671.0;105549.0
9223;1110;401;66632.0;84036.0
11857;1110;401;66632.0;84036.0
13261;1110;401;203387.0;247118.0
10651;1110;401;9250.0;15609.0
11338;1110;401;66632.0;84036.0
8654;1110;401;16100.0;23778.0
13138;1110;401;73202.0;91871.0
10464;1110;402;106127.0;131135.0
10040;1110;401;66632.0;84036.0
11911;1110;401;14175.0;21482.0
13589;1110;401;14175.0;18175.0
10208;1110;405;16471.0;24220.0
10954;1110;402;84664.0;105540.0
11513;1110;420;25053.0;34454.0
9500;1110;401;79406.0;99269.0
8960;1110;401;84671.0;105549.0
13912;1110;401;61663.0;78111.0
11459;1110;401;77278.0;96732.0
14595;1110;405;9665.0;16104.0
13643;1110;401;59165.0;75133.0
13843;1110;401;92171.0;114493.0
8113;1110;400;84597.0;727836.0
14675;1110;405;10739.0;17384.0
14923;1110;401;93245.0;115773.0
13632;1110;401;217607.0;264075.0
10040;1110;401;66632.0;84036.0
10040;1110;401;66632.0;84036.0
11979;1110;401;73202.0;91871.0
11051;1110;420;25053.0;34454.0
12392;1110;401;66632.0;84036.0
10370;1110;401;93245.0;115773.0
10651;1110;401;6379.0;12185.0
10624;1110;401;15675.0;23271.0
8225;1110;401;36602.0;48226.0
12379;1110;401;16100.0;23778.0
13278;1110;401;23429.0;32517.0
9860;1110;401;55498.0;70759.0
13649;1110;401;14175.0;21482.0
8305;1110;401;82423.0;102868.0
9596;1110;401;60715.0;76981.0
9596;1110;401;108751.0;134263.0
14284;1110;401;73202.0;91871.0
11027;1110;401;84671.0;105549.0
8287;1110;400;53706.0;290848.0
13267;1110;401;73202.0;91871.0
12873;1110;401;36602.0;48226.0
13989;1110;401;41109.0;53601.0
11906;1110;401;66632.0;84036.0
12746;1110;402;128245.0;157511.0
14926;1110;401;105751.0;130686.0
13224;1110;401;-51148.0;-60994.0
11515;1110;401;16100.0;23778.0
11985;1110;401;41109.0;53601.0
10068;1110;401;18149.0;26221.0
11964;1110;401;36602.0;48226.0
10208;1110;401;73202.0;91871.0
9379;1110;401;84552.0;105406.0
9151;1110;401;116668.0;143705.0
9151;1110;401;93245.0;115773.0
10540;1110;405;9955.0;16450.0
13194;1110;401;16100.0;23778.0
14191;1110;401;151277.0;184976.0
8567;1110;401;14600.0;21989.0
9819;1110;401;336283.0;405596.0
11003;1110;401;18499.0;26638.0
14624;1110;401;59132.0;75092.0
12622;1110;401;939597.0;1125048.0
14449;1110;405;9955.0;16450.0
14136;1110;401;66629.0;84034.0
11346;1110;401;123353.0;151677.0
14353;1110;405;9987.0;16488.0
8554;1110;401;20554.0;29089.0
12186;1110;401;26653.0;36363.0
11041;1110;401;73202.0;91871.0
9731;1110;401;73202.0;91871.0
10359;1110;400;66632.0;165093.0
13300;1110;401;201973.0;245432.0
14589;1110;401;66632.0;84036.0
11455;1110;401;73202.0;91871.0
